MK_ID,Name_Hebrew,Faction,Position,X_Account,Phone,Email,Profile_URL
1044,"עמית הלוי","הליכוד",NEUTRAL,"@HaleviAmit","02-6753333","ahalevi@knesset.gov.il",https://m.knesset.gov.il/mk/apps/mk/mk-personal-details/1044
1128,"עפיף עבד","הליכוד",NEUTRAL,"@afefameenabed","02-6753333","abbed@knesset.gov.il",https://m.knesset.gov.il/mk/apps/mk/mk-personal-details/1128
1122,"צגה צגנש מלקו","הליכוד",NEUTRAL,"@Tsega__Melaku","02-6753205","tmelaku@knesset.gov.il",https://m.knesset.gov.il/mk/apps/mk/mk-personal-details/1122
1018,"קטי קטרין שטרית","הליכוד",NEUTRAL,"@shitrit_keti","02-6408517, 02-6408174","kshitrit@knesset.gov.il",https://m.knesset.gov.il/mk/apps/mk/mk-personal-details/1018
1101,"שלום דנינו","הליכוד",NEUTRAL,"@ShalomDanino","02-6408802","shdanino@knesset.gov.il",https://m.knesset.gov.il/mk/apps/mk/mk-personal-details/1101
1011,"שלמה קרעי","הליכוד",NEUTRAL,"@shlomo_karhi","02-6408834","shlomok@knesset.gov.il",https://m.knesset.gov.il/mk/apps/mk/mk-personal-details/1011
1125,"ששון ששי גואטה","הליכוד",NEUTRAL,"@sassong24","02-6408494","hak_guetta@knesset.gov.il",https://m.knesset.gov.il/mk/apps/mk/mk-personal-details/1125
1090,"אוהד טל","הציונות הדתית בראשות בצלאל סמוטריץ'",NEUTRAL,"@MKOhadTal","02-6408115","ohadt@knesset.gov.il",https://m.knesset.gov.il/mk/apps/mk/mk-personal-details/1090
977,"אופיר סופר","הציונות הדתית בראשות בצלאל סמוטריץ'",NEUTRAL,"@ofir_sofer","02-6408023","osofer@knesset.gov.il",https://m.knesset.gov.il/mk/apps/mk/mk-personal-details/977
884,"אורית סטרוק","הציונות הדתית בראשות בצלאל סמוטריץ'",NEUTRAL,"@oritstrock","02-6408043","ostruk@knesset.gov.il",https://m.knesset.gov.il/mk/apps/mk/mk-personal-details/884
1060,"מיכל מרים וולדיגר","הציונות הדתית בראשות בצלאל סמוטריץ'",NEUTRAL,"@michalwoldiger","02-6408518","michalwoldiger@knesset.gov.il",https://m.knesset.gov.il/mk/apps/mk/mk-personal-details/1060
1107,"משה סולומון","הציונות הדתית בראשות בצלאל סמוטריץ'",NEUTRAL,"@Moshe_solomon_","02-6408396","mosolomon@knesset.gov.il",https://m.knesset.gov.il/mk/apps/mk/mk-personal-details/1107
1121,"צבי ידידיה סוכות","הציונות הדתית בראשות בצלאל סמוטריץ'",NEUTRAL,"@tzvisuccot","02-6406872","tzvisuccot@knesset.gov.il",https://m.knesset.gov.il/mk/apps/mk/mk-personal-details/1121
1067,"שמחה רוטמן","הציונות הדתית בראשות בצלאל סמוטריץ'",NEUTRAL,"@rothmar","02-6408124","srothman@knesset.gov.il",https://m.knesset.gov.il/mk/apps/mk/mk-personal-details/1067
1039,"אוריאל בוסו","התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדיה יוסף זצ"ל",NEUTRAL,"@BussoUriel","02-6408396, 02-6408376","urielb@knesset.gov.il",https://m.knesset.gov.il/mk/apps/mk/mk-personal-details/1039
41,"אריה מכלוף דרעי","התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדיה יוסף זצ"ל",NEUTRAL,"@ariyederi","02-6408698","aderey@knesset.gov.il",https://m.knesset.gov.il/mk/apps/mk/mk-personal-details/41
1055,"חיים ביטון","התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדיה יוסף זצ"ל",NEUTRAL,"@haiimaemek","02-6408050","chbiton@knesset.gov.il",https://m.knesset.gov.il/mk/apps/mk/mk-personal-details/1055
906,"יואב בן צור","התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדיה יוסף זצ"ל",NEUTRAL,"@BentzurYoav","02-6408340","ybentzur@knesset.gov.il",https://m.knesset.gov.il/mk/apps/mk/mk-personal-details/906
1115,"יונתן מישרקי","התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדיה יוסף זצ"ל",NEUTRAL,"","02-6753655, 02-6496081","msyoni@knesset.gov.il",https://m.knesset.gov.il/mk/apps/mk/mk-personal-details/1115
1043,"יוסף טייב","התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדיה יוסף זצ"ל",NEUTRAL,"@yossitaieb","02-6408169","jtaieb@knesset.gov.il",https://m.knesset.gov.il/mk/apps/mk/mk-personal-details/1043
970,"ינון אזולאי","התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדיה יוסף זצ"ל",NEUTRAL,"","02-6408453, 02-6408454","yazulai@knesset.gov.il",https://m.knesset.gov.il/mk/apps/mk/mk-personal-details/970
751,"יעקב מרגי","התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדיה יוסף זצ"ל",NEUTRAL,"@yakmargi","02-6408040","ymargi@knesset.gov.il",https://m.knesset.gov.il/mk/apps/mk/mk-personal-details/751
957,"מיכאל מלכיאלי","התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדיה יוסף זצ"ל",NEUTRAL,"@malkielim82","02-6408666","malkielim@knesset.gov.il",https://m.knesset.gov.il/mk/apps/mk/mk-personal-details/957
1029,"משה אבוטבול","התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדיה יוסף זצ"ל",NEUTRAL,"@Abutbulm","02-6408751","mabutbul@knesset.gov.il",https://m.knesset.gov.il/mk/apps/mk/mk-personal-details/1029
1008,"משה ארבל","התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדיה יוסף זצ"ל",NEUTRAL,"@rbl_msh38078","02-6408528, 02-6408412","marbel@knesset.gov.il",https://m.knesset.gov.il/mk/apps/mk/mk-personal-details/1008
814,"אורי מקלב","יהדות התורה",NEUTRAL,"","02-6408135","umaklev@knesset.gov.il",https://m.knesset.gov.il/mk/apps/mk/mk-personal-details/814
861,"יעקב אשר","יהדות התורה",NEUTRAL,"@Pikeaccount","02-6408435, 02-6408434","yakova@knesset.gov.il",https://m.knesset.gov.il/mk/apps/mk/mk-personal-details/861
996,"יעקב טסלר","יהדות התורה",NEUTRAL,"@TESLERYANKY","02-6408167","ytesler@knesset.gov.il",https://m.knesset.gov.il/mk/apps/mk/mk-personal-details/996
1099,"יצחק גולדקנופ","יהדות התורה",NEUTRAL,"@DOVRUTGoldknopf","02-6496276","ygoldknop@knesset.gov.il",https://m.knesset.gov.il/mk/apps/mk/mk-personal-details/1099
754,"ישראל אייכלר","יהדות התורה",NEUTRAL,"@YisraelEichler","02-6408475","ieichler@knesset.gov.il",https://m.knesset.gov.il/mk/apps/mk/mk-personal-details/754
103,"מאיר פרוש","יהדות התורה",NEUTRAL,"","02-6408304","mporush@knesset.gov.il",https://m.knesset.gov.il/mk/apps/mk/mk-personal-details/103
35,"משה גפני","יהדות התורה",NEUTRAL,"@mk_moshe_gafni","02-6408997, 02-6408328","mgafni@knesset.gov.il",https://m.knesset.gov.il/mk/apps/mk/mk-personal-details/35
1063,"אבי מעוז","נעם - בראשות אבי מעוז",SUPPORT,"@AVI_MAOZ","02-6408110, 02-6408212","amaaoz@knesset.gov.il",https://m.knesset.gov.il/mk/apps/mk/mk-personal-details/1063
1056,"איתמר בן גביר","עוצמה יהודית בראשות איתמר בן גביר",NEUTRAL,"@itamarbengvir","02-6408196","ibengvir@knesset.gov.il",https://m.knesset.gov.il/mk/apps/mk/mk-personal-details/1056
1114,"יצחק קרויזר","עוצמה יהודית בראשות איתמר בן גביר",NEUTRAL,"@Yitzik_kroizer","02-6403137","ykroyzer@knesset.gov.il",https://m.knesset.gov.il/mk/apps/mk/mk-personal-details/1114
1102,"יצחק שמעון וסרלאוף","עוצמה יהודית בראשות איתמר בן גביר",NEUTRAL,"@ItshakWaserlauf","02-6408166","yvaserlof@knesset.gov.il",https://m.knesset.gov.il/mk/apps/mk/mk-personal-details/1102
1108,"לימור סון הר מלך","עוצמה יהודית בראשות איתמר בן גביר",NEUTRAL,"@limor_sonhrmelh","02-6408487","lsun.har@knesset.gov.il",https://m.knesset.gov.il/mk/apps/mk/mk-personal-details/1108
1096,"עמיחי אליהו","עוצמה יהודית בראשות איתמר בן גביר",NEUTRAL,"@Eliyahu_a","02-6408883","abene@knesset.gov.il",https://m.knesset.gov.il/mk/apps/mk/mk-personal-details/1096
1110,"צביקה פוגל","עוצמה יהודית בראשות איתמר בן גביר",NEUTRAL,"@tzvikafoghel","02-6753676","tzfoghel@knesset.gov.il",https://m.knesset.gov.il/mk/apps/mk/mk-personal-details/1110
